bookTitle,bookId,ISBN,bookAuthor,yearOfPublication,publisher
The Alchemist: A Fable About Following Your Dream,499,62502174,Paulo Coelho,1993,HarperSanFrancisco
The Alibi,500,446608653,Sandra Brown,2000,Warner Books
The Alienist,501,553572997,Caleb Carr,1995,Bantam Books
The Amazing Adventures of Kavalier &amp; Clay,502,312282990,Michael Chabon,2001,Picador
"The Amber Spyglass (His Dark Materials, Book 3)",503,375823352,PHILIP PULLMAN,2002,Knopf Books for Young Readers
The Andromeda Strain,504,345378482,MICHAEL CRICHTON,1992,Ballantine Books
The Angel of Darkness,505,345427637,Caleb Carr,1998,Ballantine Books
The Apprentice,506,345447867,Tess Gerritsen,2003,Ballantine Books
The Bachelor (Warner Books Contemporary Romance),507,446610542,Carly Phillips,2002,Warner Forever
"The Bad Beginning (A Series of Unfortunate Events, Book 1)",508,64407667,Lemony Snicket,1999,HarperCollins
The Bad Place,509,425124347,Dean R. Koontz,1994,Berkley Publishing Group
The Beach House,510,446612545,James Patterson,2003,Warner Books
The Bean Trees,511,60915544,Barbara Kingsolver,1989,Perennial
The Blind Assassin,512,385475721,Margaret Atwood,2000,Nan A. Talese
The Blue Nowhere : A Novel,513,671042262,Jeffery Deaver,2002,Pocket
The Bluest Eye,514,375411550,Toni Morrison,2000,Knopf
The Body Farm,515,425147622,Patricia Daniels Cornwell,1995,Berkley Publishing Group
The Bonesetter's Daughter,516,399146431,Amy Tan,2001,Putnam Publishing Group
The Bonfire of the Vanities,517,553275976,Tom Wolfe,1988,Bantam Books
The Book of Ruth (Oprah's Book Club (Paperback)),518,385265700,Jane Hamilton,1990,Anchor
The Bourne Identity,519,553260111,Robert Ludlum,1984,Bantam Books
The Bourne Supremacy,520,553263226,Robert Ludlum,1987,Bantam
The Bourne Ultimatum,521,553287737,Robert Ludlum,1991,Bantam Books
The Boy Next Door,522,60096195,Meggin Cabot,2002,Avon Trade
The Brethren,523,440236673,John Grisham,2000,Island
The Bridges of Madison County,524,044651652X,Robert James Waller,1992,Warner Books
The Burden of Proof,525,446360589,Scott Turow,1991,Warner Books
The Cardinal of the Kremlin (Jack Ryan Novels),526,425116840,Tom Clancy,1989,Berkley Publishing Group
The Carousel,527,440216842,Belva Plain,1998,Dell
The Catcher in the Rye,528,316769487,J.D. Salinger,1991,"Little, Brown"
The Celestine Prophecy (Celestine Prophecy),529,044651862X,James Redfield,1994,Warner Books
The Cereal Murders,530,055356773X,Diane Mott Davidson,1994,Crimeline
The Chamber,531,440220602,John Grisham,1995,Dell Publishing Company
The Cider House Rules,532,345387651,John Irving,1994,Ballantine Books
The Clan of the Cave Bear (Earth's Children (Paperback)),533,553250426,Jean M. Auel,1984,Bantam Books
The Client,534,440213525,John Grisham,1994,Dell Publishing Company
The Clinic (Alex Delaware Novels (Paperback)),535,055357230X,Jonathan Kellerman,1999,Bantam Books
The Color Purple,536,671617028,Alice Walker,1985,Pocket Books
The Color of Water: A Black Man's Tribute to His White Mother,537,1573225789,James McBride,1997,Riverhead Books
The Copper Beech,538,440213290,Maeve Binchy,1993,Dell
The Cradle Will Fall,539,440115450,Mary Higgins Clark,1983,Dell Publishing Company
The Crimson Petal and the White,540,156028778,Michel Faber,2003,Harvest Books
The Da Vinci Code,541,385504209,Dan Brown,2003,Doubleday
The Dark Half,542,451167317,Stephen King,1994,Signet Book
The Dead Zone,543,451155750,Stephen King,2004,Signet Book
The Deep End of the Ocean,544,451186923,Jacquelyn Mitchard,1997,New Amer Library
The Devil Wears Prada : A Novel,545,038550926X,LAUREN WEISBERGER,2003,Doubleday
The Diary of Ellen Rimbauer: My Life at Rose Red,546,786868015,Joyce Reardon,2001,Hyperion
The Divine Secrets of the Ya-Ya Sisterhood: A Novel,547,60502258,Rebecca Wells,2002,HarperTorch
The Dogs of Babel (Today Show Book Club #12),548,316168688,Carolyn Parkhurst,2003,"Little, Brown"
The Door to December,549,451181379,Dean R. Koontz,1994,Signet Book
"The Drawing of the Three (The Dark Tower, Book 2)",550,451163524,Stephen King,1997,Signet Book
The Edge,551,515128600,Catherine Coulter,2000,Jove Books
The Eight,552,345366239,Katherine Neville,1995,Ballantine Books
The Empty Chair,553,671026011,Jeffery Deaver,2001,Pocket
The English Patient,554,679745203,Michael Ondaatje,1996,Vintage Books USA
The Eyre Affair: A Novel,555,142001805,Jasper Fforde,2003,Penguin Books
The Face of Deception,556,553578022,Iris Johansen,1999,Bantam Books
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",557,618002227,J. R. R. Tolkien,1999,Houghton Mifflin Company
The Firm,558,044021145X,John Grisham,1992,Bantam Dell Publishing Group
The First Counsel,559,044661064X,Brad Meltzer,2001,Warner Vision
The First Wives Club Movie Tie In,560,671002481,Olivia Goldsmith,1996,Pocket
The Five People You Meet in Heaven,561,786868716,Mitch Albom,2003,Hyperion
The Fourth Hand,562,375506276,JOHN IRVING,2001,Random House
The General's Daughter,563,446364800,Nelson DeMille,1993,Warner Books
The Genesis Code,564,345422317,John Case,1998,Ballantine Books
The Ghost,565,038531695X,Danielle Steel,1997,Dell
The Gift,566,440128757,Madeena S. Nolan,1981,Dell Publishing
The Girl Who Loved Tom Gordon,567,671042858,Stephen King,2000,Pocket
The Girls' Guide to Hunting and Fishing,568,140293248,Melissa Bank,2000,Penguin Books
The Giver (21st Century Reference),569,440219078,LOIS LOWRY,1994,Laure Leaf
The Glass Lake,570,440221595,Maeve Binchy,1996,Dell
The God of Small Things,571,679457313,Arundhati Roy,1997,Random House Inc
"The Golden Compass (His Dark Materials, Book 1)",572,037582345X,PHILIP PULLMAN,2002,Knopf Books for Young Readers
The Great Gatsby,573,684801523,F. Scott Fitzgerald,1995,Scribner
The Green Mile,574,671041789,Stephen King,1999,Pocket
The Grilling Season,575,553574663,Diane Mott Davidson,1998,Bantam Books
The Guardian,576,446527793,Nicholas Sparks,2003,Warner Books
"The Gunslinger (The Dark Tower, Book 1)",577,451160525,Stephen King,1994,New American Library
The Handmaid's Tale,578,449212602,Margaret Atwood,1989,Fawcett Books
The Hitchhiker's Guide to the Galaxy,579,671461494,Douglas Adams,1982,Pocket
The Hobbit : The Enchanting Prelude to The Lord of the Rings,580,345339681,J.R.R. TOLKIEN,1986,Del Rey
The Honk and Holler Opening Soon,581,446675059,Billie Letts,1999,Warner Books
The Horse Whisperer,582,440222656,Nicholas Evans,1996,Dell
The Hot Zone,583,385479565,Richard Preston,1995,Anchor
The Hours : A Novel,584,312243022,Michael Cunningham,2000,Picador
The Hours: A Novel,585,312305060,Michael Cunningham,2002,Picador
The House of the Spirits,586,553273914,Isabel Allende,1986,Bantam Books
The Hundred Secret Senses,587,080411109X,Amy Tan,1996,Ivy Books
The Hunt for Red October,588,425120279,Tom Clancy,1990,Berkley Publishing Group
The Idiot Girls' Action Adventure Club,589,375760911,Laurie Notaro,2002,Villard Books
The Jester,590,316602051,James Patterson,2003,"Little, Brown"
The Joy Luck Club,591,804106304,Amy Tan,1994,Prentice Hall (K-12)
The Killing Game: Only One Can Win...and the Loser Dies,592,553581554,Iris Johansen,2000,Bantam Books
The King of Torts,593,440241537,JOHN GRISHAM,2003,Dell
The Kiss,594,044023669X,Danielle Steel,2002,Dell Publishing Company
The Kitchen God's Wife,595,080410753X,Amy Tan,1992,Ivy Books
The Last Precinct,596,399146253,Patricia Daniels Cornwell,2000,Putnam Publishing Group
The Last Time They Met : A Novel,597,316781266,Anita Shreve,2002,Back Bay Books
The Little Friend,598,679439382,Donna Tartt,2002,Alfred A. Knopf
The Little Prince,599,156528207,Antoine de Saint-Exup̩ry,1968,Harcourt
The Long Road Home,600,440224837,Danielle Steel,1999,Dell Publishing Company
The Loop,601,440224624,Nicholas Evans,1999,Dell Publishing Company
The Lost Boy: A Foster Child's Search for the Love of a Family,602,1558745157,Dave Pelzer,1997,Health Communications
The Lost World,603,034540288X,Michael Crichton,1996,Ballantine Books
The Lottery Winner : Alvirah And Willy Stories,604,671867172,Mary Higgins Clark,1995,Pocket
The Lovely Bones: A Novel,605,316666343,Alice Sebold,2002,"Little, Brown"
The Mists of Avalon,606,345350499,MARION ZIMMER BRADLEY,1987,Del Rey
The Most Wanted,607,451196856,Jacquelyn Mitchard,1999,Signet Book
The Mulberry Tree,608,671014218,Jude Deveraux,2002,Atria Books
The Mummy or Ramses the Damned,609,345369947,Anne Rice,1991,Ballantine Books
The Murder Book,610,345413903,Jonathan Kellerman,2003,Ballantine Books
The Nanny Diaries: A Novel,611,312278586,Emma McLaughlin,2002,St. Martin's Press
The Next Accident,612,553578693,LISA GARDNER,2002,Bantam
The No. 1 Ladies' Detective Agency (Today Show Book Club #8),613,1400034779,Alexander McCall Smith,2003,Anchor
The Notebook,614,446520802,Nicholas Sparks,1996,Warner Books
The Other Boleyn Girl,615,743227441,Philippa Gregory,2002,Touchstone
The Partner,616,440224764,John Grisham,1998,Dell Publishing Company
The Pelican Brief,617,440214041,John Grisham,1993,Dell
The Perfect Storm : A True Story of Men Against the Sea,618,006101351X,Sebastian Junger,1998,HarperTorch
The Phantom Tollbooth,619,394820371,Norton Juster,1993,Yearling Books
The Pillars of the Earth,620,451166892,Ken Follett,1996,Signet Book
The Pilot's Wife : A Novel,621,316601950,Anita Shreve,1999,Back Bay Books
The Plains of Passage (Earth's Children (Paperback)),622,553289411,JEAN M. AUEL,1991,Bantam
The Poisonwood Bible,623,60175400,Barbara Kingsolver,1999,HarperCollins
The Poisonwood Bible: A Novel,624,60930535,Barbara Kingsolver,1999,Perennial
The Prince of Tides,625,553268880,Pat Conroy,1987,Bantam Books
The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,626,345348036,WILLIAM GOLDMAN,1987,Del Rey
The Promise,627,440170796,Danielle Steel,1978,Dell
The Pull of the Moon,628,425176487,Elizabeth Berg,2000,Berkley Publishing Group
The Queen of the Damned (Vampire Chronicles (Paperback)),629,345351525,Anne Rice,1993,Ballantine Books
The Rainmaker,630,385424736,John Grisham,1995,Doubleday Books
The Rapture of Canaan,631,425162443,Sheri Reynolds,1997,Berkley Publishing Group
The Reader,632,375707972,Bernhard Schlink,1999,Vintage Books USA
The Red Tent (Bestselling Backlist),633,312195516,Anita Diamant,1998,Picador USA
The Reef,634,051512608X,Nora Roberts,1999,Jove Books
The Regulators,635,525941908,Richard Bachman,1996,Dutton Books
"The Reptile Room (A Series of Unfortunate Events, Book 2)",636,64407675,Lemony Snicket,1999,HarperCollins
The Rescue,637,446610399,Nicholas Sparks,2001,Warner Books
The Return Journey,638,440224594,MAEVE BINCHY,1999,Dell
"The Return of the King (The Lord of the Rings, Part 3)",639,395272211,J. R. R. Tolkien,1988,Houghton Mifflin
The Robber Bride,640,553569058,Margaret Atwood,1995,Bantam
The Runaway Jury,641,440221471,JOHN GRISHAM,1997,Dell
The Sands of Time,642,688065716,Sidney Sheldon,1988,William Morrow &amp; Company
The Saving Graces: A Novel,643,61097101,Patricia Gaffney,2000,HarperTorch
The Search,644,553582127,Iris Johansen,2001,Bantam Books
The Secret Garden,645,006440188X,Frances Hodgson Burnett,1998,HarperTrophy
The Secret Life of Bees,646,142001740,Sue Monk Kidd,2003,Penguin Books
The Shining,647,743424425,Stephen King,2001,Pocket
The Shipping News : A Novel,648,743225406,Annie Proulx,2001,Scribner
The Simple Truth,649,446607711,David Baldacci,1999,Warner Books
The Smoke Jumper,650,440235162,Nicholas Evans,2002,Dell Publishing Company
The Stone Diaries,651,014023313X,Carol Shields,1995,Penguin Books
The Street Lawyer,652,440225701,JOHN GRISHAM,1999,Dell
"The Subtle Knife (His Dark Materials, Book 2)",653,375823468,PHILIP PULLMAN,2002,Knopf Books for Young Readers
The Sum of All Fears (Jack Ryan Novels),654,425133540,Tom Clancy,1996,Berkley Publishing Group
The Summerhouse,655,671014188,Jude Deveraux,2001,Atria
The Summons,656,440241073,John Grisham,2002,Dell Publishing Company
The Surgeon,657,345447840,TESS GERRITSEN,2002,Ballantine Books
The Sweet Potato Queens' Book of Love,658,609804138,JILL CONNER BROWNE,1999,Three Rivers Press
The Switch,659,446527033,Sandra Brown,2000,Warner Books
The Tale of the Body Thief (Vampire Chronicles (Paperback)),660,034538475X,Anne Rice,1993,Ballantine Books
The Talisman,661,425105334,Stephen King,1991,Berkley Publishing Group
The Tao of Pooh,662,140067477,Benjamin Hoff,1983,Penguin Books
The Temple of My Familiar,663,671683993,Alice Walker,1990,Pocket
The Terminal Man,664,60092572,Michael Crichton,2002,Avon Books
The Testament,665,440234743,John Grisham,1999,Dell
The Thorn Birds,666,380018179,Colleen McCullough,1978,Avon
The Tommyknockers,667,451156609,Stephen King,1994,Signet Book
"The Two Towers (The Lord of the Rings, Part 2)",668,618002235,J. R. R. Tolkien,1999,Houghton Mifflin Company
The Ugly Duckling,669,553569910,Iris Johansen,1997,Bantam Books
The Valley of Horses,670,553250531,JEAN M. AUEL,1984,Bantam
"The Vampire Lestat (Vampire Chronicles, Book II)",671,345313860,ANNE RICE,1986,Ballantine Books
The Villa,672,399147128,Nora Roberts,2001,Putnam Publishing Group
The Virgin Suicides,673,446670251,Jeffrey Eugenides,1994,Warner Books
The Wedding,674,385471432,Dorothy West,1995,Doubleday Books
The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion,675,316780375,Anita Shreve,1998,Back Bay Books
The Winner,676,446606324,David Baldacci,1998,Warner Vision
The Witching Hour (Lives of the Mayfair Witches),677,345384466,ANNE RICE,1993,Ballantine Books
The Witness,678,446516317,Sandra Brown,1995,Replica Books
The Woman Next Door,679,743411250,Barbara Delinsky,2002,Pocket
Thinner,680,451137965,Stephen King,1985,New Amer Library
Three Fates,681,039914840X,Nora Roberts,2002,Putnam Publishing Group
Three Junes,682,375422412,Julia Glass,2002,Pantheon Books
Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),683,312966091,Janet Evanovich,1998,St. Martin's Paperbacks
Timeline,684,345417623,MICHAEL CRICHTON,2000,Ballantine Books
Tis : A Memoir,685,684848783,Frank McCourt,1999,Scribner
Tis: A Memoir,686,684865742,Frank McCourt,2000,Scribner
To Kill a Mockingbird,687,446310786,Harper Lee,1988,Little Brown &amp; Company
To the Nines: A Stephanie Plum Novel,688,312265867,Janet Evanovich,2003,St. Martin's Press
Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),689,425147363,Tom Clancy,1995,Berkley Publishing Group
Touching Evil,690,553583441,Kay Hooper,2001,Bantam Books
Tough Cookie,691,553578308,Diane Mott Davidson,2001,Bantam Books
Toxin,692,425166619,Robin Cook,1999,Berkley Publishing Group
Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),693,842329218,Tim LaHaye,1997,Tyndale House Publishers
"Truly, Madly Manhattan",694,373218036,Nora Roberts,2003,Silhouette
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",695,385484518,MITCH ALBOM,1997,Doubleday
Turtle Moon,696,042513699X,Alice Hoffman,1993,Berkley Publishing Group
Two for the Dough,697,671001795,Janet Evanovich,1996,Pocket
Under the Tuscan Sun,698,767900383,Frances Mayes,1997,Broadway
Unnatural Exposure,699,399142851,Patricia Daniels Cornwell,1997,Putnam Pub Group
Unspeakable,700,446607193,Sandra Brown,1999,Warner Books
Vanished,701,440217466,Danielle Steel,1994,Dell
Vector,702,399144714,Robin Cook,1999,Putnam Pub Group
Vinegar Hill (Oprah's Book Club (Paperback)),703,380730138,A. Manette Ansay,1998,Perennial
Violets Are Blue,704,446611212,James Patterson,2002,Warner Vision
Violin,705,345389425,Anne Rice,1998,Ballantine Books
Vittorio the Vampire: New Tales of the Vampires,706,345422392,Anne Rice,2001,Ballantine Books
Void Moon,707,316154067,Michael Connelly,1999,"Little, Brown"
Voyager,708,440217563,DIANA GABALDON,1994,Dell
WLD ACCORDNG GARP,709,671452177,John Irving,1982,Pocket
Waiting to Exhale,710,671537458,Terry McMillan,1995,Pocket
Wanderlust,711,440193613,Danielle Steel,1987,Dell
Watchers,712,425107469,Dean R. Koontz,1996,Berkley Publishing Group
Watermelon,713,60090367,Marian Keyes,2002,Perennial
Watership Down,714,380002930,Richard Adams,1976,Avon
We Were the Mulvaneys,715,452282829,Joyce Carol Oates,1996,Plume
We'll Meet Again,716,671004565,Mary Higgins Clark,2000,Pocket
Weep No More My Lady,717,440200989,Mary Higgins Clark,1993,Dell
Welcome to Temptation,718,312974256,Jennifer Crusie,2001,St. Martin's Paperbacks
"Welcome to the World, Baby Girl!",719,080411868X,Fannie Flagg,1999,Ballantine Books
What Looks Like Crazy On An Ordinary Day,720,038079487X,Pearl Cleage,1998,Perennial
What to Expect When You're Expecting (Revised Edition),721,089480829X,Arlene Eisenberg,1996,Workman Pub Co
When the Wind Blows,722,446607657,James Patterson,1999,Warner Vision
Where the Heart Is (Oprah's Book Club (Paperback)),723,446672211,Billie Letts,1998,Warner Books
Where the Red Fern Grows,724,553274295,Wilson Rawls,1984,Random House Children's Books
While I Was Gone,725,345443284,Sue Miller,1999,Ballantine Books
While My Pretty One Sleeps,726,671673688,Mary Higgins Clark,1990,Pocket
"Whirlwind (Tyler, Book 1)",727,373825013,Nancy Martin,1992,Harlequin
Whispers,728,440216745,BELVA PLAIN,1994,Dell
White Oleander : A Novel,729,316569321,Janet Fitch,1999,"Little, Brown"
White Oleander : A Novel (Oprah's Book Club),730,316284955,Janet Fitch,2000,Back Bay Books
White Teeth: A Novel,731,375703861,Zadie Smith,2001,Vintage Books USA
Wicked: The Life and Times of the Wicked Witch of the West,732,60987103,Gregory Maguire,1996,Regan Books
Wifey,733,671693816,Judy Blume,1989,Pocket
Wild Animus,734,971880107,Rich Shapero,2004,Too Far
Winter Moon,735,553582933,Dean R. Koontz,2001,Bantam Books
Winter Solstice,736,312978383,Rosamunde Pilcher,2001,St. Martin's Paperbacks
Wish You Well,737,446527165,David Baldacci,2000,Warner Books
Without Remorse,738,399138250,Tom Clancy,1993,Putnam Publishing Group
"Wizard and Glass (The Dark Tower, Book 4)",739,452279178,Stephen King,1997,Plume Books
Wuthering Heights,740,553212583,EMILY BRONTE,1983,Bantam
Year of Wonders,741,142001430,Geraldine Brooks,2002,Penguin Books
You Belong To Me,742,671004549,Mary Higgins Clark,1999,Pocket Books
Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,743,553277472,ROBERT PIRSIG,1984,Bantam
Zoya,744,440203856,Danielle Steel,1989,Dell
"\O\"" Is for Outlaw""",745,449003787,SUE GRAFTON,2001,Ballantine Books